             XT       f1=1,f2=1     f1=1,f2=0.1    f1=1,f2=0.01     f1=1.3,f2=1   f1=1.3,f2=0.1  f1=1.3,f2=0.01     f1=2.8,f2=1   f1=2.8,f2=0.1  f1=2.8,f2=0.01   f1=Inf,f2=Inf 
1.057973173E-01 1.048154799E-01 1.048095910E-01 1.021005825E-01 1.952209602E-01 1.952082495E-01 1.895368078E-01 2.914006394E-01 2.913788992E-01 2.819262002E-01 2.929694069E-01
1.081203457E-01 1.048014483E-01 1.047878177E-01 1.020185275E-01 1.951933604E-01 1.951646848E-01 1.893650792E-01 2.913571143E-01 2.913090897E-01 2.816402721E-01 2.929256093E-01
1.104943816E-01 1.047838403E-01 1.047630837E-01 1.019242121E-01 1.951590328E-01 1.951149632E-01 1.891702521E-01 2.913034413E-01 2.912290698E-01 2.813194669E-01 2.928716074E-01
1.129205451E-01 1.047638572E-01 1.047287176E-01 1.018189958E-01 1.951202131E-01 1.950468528E-01 1.889548579E-01 2.912429542E-01 2.911208895E-01 2.809675635E-01 2.928107530E-01
1.153999807E-01 1.047426247E-01 1.047008021E-01 1.017250735E-01 1.950789952E-01 1.949899202E-01 1.887597277E-01 2.911787751E-01 2.910280665E-01 2.806447141E-01 2.927461849E-01
1.179338581E-01 1.047373075E-01 1.046740991E-01 1.016338313E-01 1.950673583E-01 1.949350005E-01 1.885694266E-01 2.911586524E-01 2.909378593E-01 2.803288334E-01 2.927259087E-01
1.205233727E-01 1.047163185E-01 1.046386941E-01 1.015324072E-01 1.950264453E-01 1.948630270E-01 1.883595359E-01 2.910946923E-01 2.908208547E-01 2.799827504E-01 2.926615568E-01
1.231697462E-01 1.046970376E-01 1.045974271E-01 1.014334552E-01 1.949886355E-01 1.947796874E-01 1.881537266E-01 2.910352401E-01 2.906861742E-01 2.796419591E-01 2.926017352E-01
1.258742270E-01 1.046652107E-01 1.045495374E-01 1.013165543E-01 1.949273662E-01 1.946831688E-01 1.879141166E-01 2.909406244E-01 2.905304843E-01 2.792501553E-01 2.925065583E-01
1.286380911E-01 1.046521587E-01 1.045060647E-01 1.012149336E-01 1.949009932E-01 1.945946311E-01 1.877025403E-01 2.908979825E-01 2.903863191E-01 2.788995477E-01 2.924636332E-01
1.314626422E-01 1.046287106E-01 1.044574630E-01 1.011066044E-01 1.948551592E-01 1.944956976E-01 1.874778430E-01 2.908261363E-01 2.902253012E-01 2.785283976E-01 2.923913439E-01
1.343492131E-01 1.046106257E-01 1.044126035E-01 1.009942090E-01 1.948192246E-01 1.944030922E-01 1.872452967E-01 2.907689243E-01 2.900727139E-01 2.781451219E-01 2.923337653E-01
1.372991653E-01 1.045846436E-01 1.043577320E-01 1.008769652E-01 1.947684768E-01 1.942911933E-01 1.870030934E-01 2.906894355E-01 2.898903061E-01 2.777464765E-01 2.922537873E-01
1.403138907E-01 1.045521982E-01 1.042939647E-01 1.007471149E-01 1.947055830E-01 1.941620818E-01 1.867370384E-01 2.905916457E-01 2.896811880E-01 2.773116722E-01 2.921554069E-01
1.433948115E-01 1.045279133E-01 1.042358934E-01 1.006329955E-01 1.946577885E-01 1.940429390E-01 1.864994951E-01 2.905162359E-01 2.894859394E-01 2.769182212E-01 2.920795244E-01
1.465433811E-01 1.044992101E-01 1.041704328E-01 1.005078401E-01 1.946016497E-01 1.939093917E-01 1.862410231E-01 2.904281880E-01 2.892681768E-01 2.764929746E-01 2.919909329E-01
1.497610849E-01 1.044672893E-01 1.040985209E-01 1.003729169E-01 1.945393988E-01 1.937631890E-01 1.859639846E-01 2.903308281E-01 2.890305151E-01 2.760394592E-01 2.918929761E-01
1.530494410E-01 1.044457240E-01 1.040338169E-01 1.002468850E-01 1.944963240E-01 1.936297719E-01 1.857029658E-01 2.902619155E-01 2.888109311E-01 2.756090406E-01 2.918236168E-01
1.564100006E-01 1.044103983E-01 1.039567350E-01 1.001110698E-01 1.944274808E-01 1.934724687E-01 1.854230089E-01 2.901543184E-01 2.885543816E-01 2.751492693E-01 2.917153611E-01
1.598443493E-01 1.043750098E-01 1.038754487E-01 9.997579728E-02 1.943583889E-01 1.933067000E-01 1.851434344E-01 2.900461411E-01 2.882841980E-01 2.746891220E-01 2.916065187E-01
1.633541071E-01 1.043404671E-01 1.037958471E-01 9.983423279E-02 1.942907357E-01 1.931432398E-01 1.848517644E-01 2.899398952E-01 2.880161553E-01 2.742103671E-01 2.914996146E-01
1.669409299E-01 1.043076133E-01 1.037081904E-01 9.969459387E-02 1.942260869E-01 1.929643414E-01 1.845630502E-01 2.898379102E-01 2.877243881E-01 2.737350776E-01 2.913969907E-01
1.706065098E-01 1.042660414E-01 1.036166470E-01 9.954157386E-02 1.941450419E-01 1.927771876E-01 1.842489535E-01 2.897112000E-01 2.874186999E-01 2.732212226E-01 2.912695043E-01
1.743525761E-01 1.042281311E-01 1.035235682E-01 9.939200881E-02 1.940706653E-01 1.925865470E-01 1.839406607E-01 2.895942036E-01 2.871068258E-01 2.727150876E-01 2.911517801E-01
1.781808960E-01 1.041945297E-01 1.034295162E-01 9.924627633E-02 1.940041572E-01 1.923934679E-01 1.836388737E-01 2.894887040E-01 2.867903335E-01 2.722177194E-01 2.910456105E-01
1.820932758E-01 1.041448401E-01 1.033269198E-01 9.908165165E-02 1.939074968E-01 1.921832804E-01 1.833013637E-01 2.893378998E-01 2.864464294E-01 2.716662416E-01 2.908938875E-01
1.860915610E-01 1.041014748E-01 1.032200676E-01 9.892242796E-02 1.938224470E-01 1.919647434E-01 1.829732815E-01 2.892041597E-01 2.860894076E-01 2.711278981E-01 2.907593162E-01
1.901776379E-01 1.040548368E-01 1.031079708E-01 9.876092760E-02 1.937311144E-01 1.917356356E-01 1.826402518E-01 2.890607449E-01 2.857153538E-01 2.705811188E-01 2.906150133E-01
1.943534342E-01 1.040059732E-01 1.029956500E-01 9.859167357E-02 1.936354424E-01 1.915051150E-01 1.822923246E-01 2.889105461E-01 2.853376359E-01 2.700114435E-01 2.904638848E-01
1.986209200E-01 1.039558575E-01 1.028750605E-01 9.841572025E-02 1.935372380E-01 1.912585959E-01 1.819314639E-01 2.887562500E-01 2.849351113E-01 2.694218054E-01 2.903086317E-01
2.029821084E-01 1.039053935E-01 1.027553574E-01 9.824580245E-02 1.934381771E-01 1.910127400E-01 1.815808914E-01 2.886003472E-01 2.845320376E-01 2.688461003E-01 2.901517579E-01
2.074390570E-01 1.038461791E-01 1.026230461E-01 9.806321484E-02 1.933225901E-01 1.907426325E-01 1.812061987E-01 2.884194155E-01 2.840915728E-01 2.682336401E-01 2.899697145E-01
2.119938683E-01 1.037886107E-01 1.024927712E-01 9.787649774E-02 1.932098464E-01 1.904753402E-01 1.808233620E-01 2.882423760E-01 2.836537920E-01 2.676083786E-01 2.897915786E-01
2.166486912E-01 1.037245299E-01 1.023515165E-01 9.768487078E-02 1.930847290E-01 1.901868420E-01 1.804306154E-01 2.880464812E-01 2.831831905E-01 2.669672032E-01 2.895944796E-01
2.214057216E-01 1.036637985E-01 1.022095397E-01 9.749609460E-02 1.929656114E-01 1.898962279E-01 1.800424815E-01 2.878591654E-01 2.827082421E-01 2.663318960E-01 2.894059996E-01
2.262672038E-01 1.035984960E-01 1.020618897E-01 9.729849357E-02 1.928377195E-01 1.895941067E-01 1.796373975E-01 2.876583405E-01 2.822146646E-01 2.656705604E-01 2.892039310E-01
2.312354313E-01 1.035296675E-01 1.019092386E-01 9.709824197E-02 1.927029904E-01 1.892817378E-01 1.792266212E-01 2.874468839E-01 2.817043527E-01 2.649996303E-01 2.889911664E-01
2.363127478E-01 1.034582823E-01 1.017522197E-01 9.689103541E-02 1.925632203E-01 1.889603083E-01 1.788023834E-01 2.872274626E-01 2.811790929E-01 2.643078934E-01 2.887703872E-01
2.415015488E-01 1.033852375E-01 1.015914292E-01 9.668269645E-02 1.924200706E-01 1.886309359E-01 1.783752877E-01 2.870025412E-01 2.806405679E-01 2.636108097E-01 2.885440708E-01
2.468042821E-01 1.033035566E-01 1.014223698E-01 9.646273459E-02 1.922605229E-01 1.882850851E-01 1.779259850E-01 2.867526490E-01 2.800757915E-01 2.628797963E-01 2.882926411E-01
2.522234493E-01 1.032221274E-01 1.012475189E-01 9.624320399E-02 1.921011351E-01 1.879277426E-01 1.774767458E-01 2.865025087E-01 2.794927937E-01 2.621478171E-01 2.880409540E-01
2.577616070E-01 1.031341518E-01 1.010658871E-01 9.601398533E-02 1.919292202E-01 1.875567137E-01 1.770089129E-01 2.862331423E-01 2.788877504E-01 2.613873232E-01 2.877699286E-01
2.634213680E-01 1.030480462E-01 1.008829789E-01 9.579095027E-02 1.917604577E-01 1.871824237E-01 1.765516266E-01 2.859679612E-01 2.782764977E-01 2.606411646E-01 2.875031027E-01
2.692054023E-01 1.029571878E-01 1.006914274E-01 9.555545103E-02 1.915824864E-01 1.867911936E-01 1.760708248E-01 2.856884722E-01 2.776386870E-01 2.598595325E-01 2.872218826E-01
2.751164387E-01 1.028554889E-01 1.004903655E-01 9.531141398E-02 1.913839397E-01 1.863810673E-01 1.755732997E-01 2.853776654E-01 2.769708698E-01 2.590517760E-01 2.869091662E-01
2.811572658E-01 1.027580204E-01 1.002897735E-01 9.507108969E-02 1.911929067E-01 1.859709623E-01 1.750819744E-01 2.850774994E-01 2.763018004E-01 2.582522688E-01 2.866071385E-01
2.873307334E-01 1.026516581E-01 1.000809288E-01 9.481969590E-02 1.909848992E-01 1.855443307E-01 1.745694629E-01 2.847513513E-01 2.756063133E-01 2.574203699E-01 2.862789783E-01
