             XT               P               v             tau
1.630000000E+00 1.079545131E-01 1.349431414E-01 2.415832303E+01
1.640000000E+00 1.064595568E-01 1.330744460E-01 2.464785764E+01
1.650000000E+00 1.049727973E-01 1.312159966E-01 2.514937268E+01
1.660000000E+00 1.034944672E-01 1.293680839E-01 2.566320764E+01
1.670000000E+00 1.020247262E-01 1.275309078E-01 2.618972968E+01
1.680000000E+00 1.005637971E-01 1.257047463E-01 2.672930098E+01
1.690000000E+00 9.911183463E-02 1.238897933E-01 2.728231205E+01
1.700000000E+00 9.766905140E-02 1.220863143E-01 2.784914936E+01
1.710000000E+00 9.623559696E-02 1.202944962E-01 2.843022838E+01
1.720000000E+00 9.481164744E-02 1.185145593E-01 2.902596964E+01
1.730000000E+00 9.339742514E-02 1.167467814E-01 2.963679134E+01
1.740000000E+00 9.199301935E-02 1.149912742E-01 3.026316583E+01
1.750000000E+00 9.059864308E-02 1.132483038E-01 3.090554014E+01
1.760000000E+00 8.921445277E-02 1.115180660E-01 3.156439246E+01
1.770000000E+00 8.784057942E-02 1.098007243E-01 3.224022449E+01
1.780000000E+00 8.647719416E-02 1.080964927E-01 3.293353846E+01
1.790000000E+00 8.512442100E-02 1.064055262E-01 3.364486908E+01
1.800000000E+00 8.378240167E-02 1.047280021E-01 3.437476060E+01
1.810000000E+00 8.245129145E-02 1.030641143E-01 3.512376761E+01
1.820000000E+00 8.113120329E-02 1.014140041E-01 3.589247887E+01
1.830000000E+00 7.982228187E-02 9.977785234E-02 3.668148707E+01
1.840000000E+00 7.852463251E-02 9.815579064E-02 3.749142028E+01
1.850000000E+00 7.723838919E-02 9.654798648E-02 3.832291211E+01
1.860000000E+00 7.596363472E-02 9.495454340E-02 3.917664039E+01
1.870000000E+00 7.470052226E-02 9.337565282E-02 4.005326750E+01
1.880000000E+00 7.344912589E-02 9.181140737E-02 4.095351665E+01
1.890000000E+00 7.220954541E-02 9.026193177E-02 4.187811989E+01
1.900000000E+00 7.098187586E-02 8.872734483E-02 4.282783405E+01
1.910000000E+00 6.976621916E-02 8.720777395E-02 4.380343434E+01
1.920000000E+00 6.856264790E-02 8.570330988E-02 4.480573744E+01
1.930000000E+00 6.737125345E-02 8.421406681E-02 4.583557292E+01
1.940000000E+00 6.619209988E-02 8.274012484E-02 4.689381370E+01
1.950000000E+00 6.502525817E-02 8.128157271E-02 4.798135506E+01
1.960000000E+00 6.387080396E-02 7.983850495E-02 4.909911580E+01
1.970000000E+00 6.272878836E-02 7.841098545E-02 5.024806125E+01
1.980000000E+00 6.159926801E-02 7.699908501E-02 5.142918256E+01
1.990000000E+00 6.048230295E-02 7.560287869E-02 5.264349809E+01
2.000000000E+00 5.937792349E-02 7.422240437E-02 5.389208332E+01
2.010000000E+00 5.828619551E-02 7.285774438E-02 5.517601504E+01
2.020000000E+00 5.720713319E-02 7.150891648E-02 5.649645105E+01
2.030000000E+00 5.614078415E-02 7.017598018E-02 5.785455350E+01
2.040000000E+00 5.508716927E-02 6.885896158E-02 5.925154702E+01
2.050000000E+00 5.404631848E-02 6.755789810E-02 6.068868504E+01
2.060000000E+00 5.301824417E-02 6.627280521E-02 6.216727943E+01
2.070000000E+00 5.200296093E-02 6.500370116E-02 6.368868120E+01
2.080000000E+00 5.100047893E-02 6.375059867E-02 6.525428917E+01
2.090000000E+00 5.001080896E-02 6.251351120E-02 6.686554505E+01
2.100000000E+00 4.903394177E-02 6.129242721E-02 6.852396277E+01
2.110000000E+00 4.806988895E-02 6.008736118E-02 7.023107550E+01
2.120000000E+00 4.711862845E-02 5.889828556E-02 7.198851308E+01
2.130000000E+00 4.618015351E-02 5.772519188E-02 7.379793572E+01
2.140000000E+00 4.525445236E-02 5.656806545E-02 7.566106364E+01
2.150000000E+00 4.434150062E-02 5.542687577E-02 7.757969289E+01
2.160000000E+00 4.344127793E-02 5.430159741E-02 7.955567066E+01
2.170000000E+00 4.255374881E-02 5.319218602E-02 8.159093139E+01
2.180000000E+00 4.167888847E-02 5.209861059E-02 8.368745252E+01
2.190000000E+00 4.081665745E-02 5.102082181E-02 8.584730399E+01
2.200000000E+00 3.996701620E-02 4.995877025E-02 8.807262424E+01
2.210000000E+00 3.912992140E-02 4.891240175E-02 9.036563001E+01
2.220000000E+00 3.830532881E-02 4.788166101E-02 9.272861272E+01
2.230000000E+00 3.749318492E-02 4.686648116E-02 9.516396132E+01
2.240000000E+00 3.669343576E-02 4.586679470E-02 9.767414595E+01
2.250000000E+00 3.590602390E-02 4.488252988E-02 1.002617279E+02
2.260000000E+00 3.513088863E-02 4.391361079E-02 1.029293633E+02
2.270000000E+00 3.436796803E-02 4.295996004E-02 1.056798003E+02
2.280000000E+00 3.361719068E-02 4.202148835E-02 1.085159089E+02
2.290000000E+00 3.287849042E-02 4.109811303E-02 1.114406396E+02
2.300000000E+00 3.215179195E-02 4.018973994E-02 1.144570731E+02
2.310000000E+00 3.143701914E-02 3.929627393E-02 1.175683987E+02
2.320000000E+00 3.073409308E-02 3.841761635E-02 1.207779254E+02
2.330000000E+00 3.004293359E-02 3.755366699E-02 1.240890803E+02
2.340000000E+00 2.936345324E-02 3.670431655E-02 1.275054391E+02
2.350000000E+00 2.869556813E-02 3.586946017E-02 1.310306868E+02
2.360000000E+00 2.803918742E-02 3.504898427E-02 1.346686672E+02
2.370000000E+00 2.739421939E-02 3.424277423E-02 1.384233639E+02
2.380000000E+00 2.676057007E-02 3.345071258E-02 1.422989118E+02
2.390000000E+00 2.613814327E-02 3.267267909E-02 1.462996036E+02
2.400000000E+00 2.552684071E-02 3.190855089E-02 1.504298962E+02
2.410000000E+00 2.492656209E-02 3.115820262E-02 1.546944174E+02
2.420000000E+00 2.433720612E-02 3.042150765E-02 1.590979663E+02
2.430000000E+00 2.375866681E-02 2.969833352E-02 1.636455459E+02
2.440000000E+00 2.319084020E-02 2.898855025E-02 1.683423268E+02
2.450000000E+00 2.263361790E-02 2.829202237E-02 1.731936987E+02
2.460000000E+00 2.208689014E-02 2.760861267E-02 1.782052600E+02
2.470000000E+00 2.155054796E-02 2.693818495E-02 1.833828081E+02
2.480000000E+00 2.102447868E-02 2.628059835E-02 1.887323848E+02
2.490000000E+00 2.050856911E-02 2.563571138E-02 1.942602616E+02
2.500000000E+00 2.000270483E-02 2.500338103E-02 1.999729554E+02
2.510000000E+00 1.950677031E-02 2.438346288E-02 2.058772384E+02
2.520000000E+00 1.902064895E-02 2.377581119E-02 2.119801491E+02
2.530000000E+00 1.854422319E-02 2.318027899E-02 2.182890034E+02
2.540000000E+00 1.807737460E-02 2.259671825E-02 2.248114060E+02
2.550000000E+00 1.761998392E-02 2.202497990E-02 2.315552624E+02
2.560000000E+00 1.717193160E-02 2.146491450E-02 2.385287861E+02
2.570000000E+00 1.673309619E-02 2.091637024E-02 2.457405344E+02
2.580000000E+00 1.630335695E-02 2.037919618E-02 2.531993879E+02
2.590000000E+00 1.588259220E-02 1.985324026E-02 2.609145879E+02
2.600000000E+00 1.547068022E-02 1.933835027E-02 2.688957396E+02
2.610000000E+00 1.506749789E-02 1.883437236E-02 2.771528512E+02
2.620000000E+00 1.467292287E-02 1.834115359E-02 2.856963153E+02
2.630000000E+00 1.428683230E-02 1.785854037E-02 2.945369493E+02
2.640000000E+00 1.390910314E-02 1.738637893E-02 3.036860074E+02
2.650000000E+00 1.353961257E-02 1.692451572E-02 3.131551939E+02
2.660000000E+00 1.317823702E-02 1.647279627E-02 3.229567046E+02
2.670000000E+00 1.282485374E-02 1.603106718E-02 3.331032140E+02
2.680000000E+00 1.247933987E-02 1.559917483E-02 3.436079189E+02
